Country Name,GDP (millions U$dollor),GDP Per Capita (U$dollor),Population
Samoa,850655017,4316,197097
Sao Tome and Principe,429016605,1995,215056
Saudi Arabia,792966838162,23140,34268528
Senegal,23578084052,1447,16296364
Serbia,51409167351,7402,6944975
Seychelles,1698843063,17402,97625
Sierra Leone,3941474311,504,7813215
Singapore,372062527489,65233,5703569
Slovak Republic,105422304976,19329,5454073
Slovenia,53742159517,25739,2087946
Small states,525221276647,12731,41255484
Solomon Islands,1425074226,2128,669823
South Africa,351431649241,6001,58558270
South Asia,3597970348648,1960,1835776742
South Asia (IDA & IBRD),3597970348648,1960,1835776742
Spain,1394116310769,29614,47076781
Sri Lanka,84008783756,3853,21803000
St. Kitts and Nevis,1050992593,19896,52823
St. Lucia,2122450630,11611,182790
St. Vincent and the Grenadines,825385185,7464,110589
Sub-Saharan Africa,1755011419751,1585,1106957898
Sub-Saharan Africa (excluding high income),1739115379285,1573,1105594562
Sub-Saharan Africa (IDA & IBRD countries),1755011419751,1585,1106957898
Sudan,18902284476,442,42813238
Suriname,3985250737,6855,581372
Sweden,530832908738,51610,10285453
Switzerland,703082435360,81994,8574832
Tajikistan,8116626794,871,9321018
Tanzania,63177068175,1122,58005463
Thailand,543649976166,7808,69625582
Timor-Leste,1673540300,1294,1293119
Togo,5459979417,676,8082366
Trinidad and Tobago,24100202834,17276,1394973
Tunisia,38797709924,3318,11694719
Turkey,754411708203,9042,83429615
Tuvalu,47271463,4059,11646
Uganda,34387229486,777,44269594
Ukraine,153781069118,3659,44385155
United Arab Emirates,421142267938,43103,9770529
United Kingdom,2827113184696,42300,66834405
United States of America,21374418877707,65118,328239523
Uruguay,56045912952,16190,3461734
Uzbekistan,57921286440,1725,33580650
Vanuatu,917058851,3058,299882
Vietnam,261921244843,2715,96462106
Zambia,23064722446,1291,17861030
Zimbabwe,21440758800,1464,14645468
