Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Gambia, The",GMB,861,763,743,701,607,650,684,677,713,751
Georgia,GEO,3233,4022,4422,4624,4739,4014,4062,4357,4723,4769
Germany,DEU,41532,46645,43858,46286,47960,41140,42099,44350,47639,46259
Ghana,GHA,1299,1549,1588,2345,1971,1744,1931,2026,2202,2202
Greece,GRC,26918,25916,22243,21875,21761,18168,18116,18930,20324,19583
Greenland,GRL,43988,47187,45937,47536,50485,44536,48182,50321,54471,53950
Grenada,GRD,7258,7291,7445,7790,8370,9097,9628,10153,10486,10966
Guam,GUM,30700,30859,32495,33265,34394,35279,35563,35616,35713,35713
Guatemala,GTM,2899,3282,3409,3523,3780,3995,4173,4451,4473,4620
Guinea,GIN,672,651,717,769,787,769,733,857,983,1064
Guinea-Bissau,GNB,558,703,616,634,622,603,661,737,778,698
Guyana,GUY,3033,3425,3788,3935,4032,4166,4543,4586,4979,5468
Haiti,HTI,666,744,770,816,832,816,735,766,868,755
Heavily indebted poor countries (HIPC),HPC,779,840,863,938,963,927,897,929,956,947
High income,HIC,38650,41536,41344,41628,42294,39731,40332,41971,44351,44540
Honduras,HND,1904,2088,2144,2103,2206,2302,2343,2454,2506,2575
"Hong Kong SAR, China",HKG,32550,35142,36731,38404,40315,42432,43731,46166,48543,48756
Hungary,HUN,13114,14151,12918,13687,14246,12652,12992,14458,16151,16476
IBRD only,IBD,4521,5287,5567,5824,5966,5581,5572,6092,6452,6565
Iceland,ISL,43025,47517,45910,49522,54242,52564,61467,71311,72969,66945
IDA & IBRD total,IBT,3708,4312,4529,4737,4851,4538,4503,4885,5153,5228
IDA blend,IDB,1537,1730,1859,1978,2105,1958,1772,1714,1753,1762
IDA only,IDX,837,911,934,1020,1067,1066,1057,1110,1163,1186
IDA total,IDA,1074,1191,1250,1347,1423,1371,1299,1313,1360,1377
India,IND,1358,1458,1444,1450,1574,1606,1733,1982,2006,2104
Indonesia,IDN,3122,3643,3694,3624,3492,3332,3563,3838,3894,4136
"Iran, Islamic Rep.",IRN,6600,7781,7928,6018,5586,4904,5253,5520,,5795
Iraq,IRQ,4657,6045,6836,7077,6819,4990,4777,5205,5834,5955
Ireland,IRL,48715,51849,48918,51590,55493,61995,63197,69822,78621,78661
Isle of Man,IMN,69767,77352,76105,80432,88974,81606,79156,80989,,80989
Israel,ISR,30694,33669,32511,36309,37679,35777,37322,40542,41720,43641
Italy,ITA,36001,38599,35054,35550,35518,30230,30940,32407,34520,33190
Jamaica,JAM,4704,5111,5210,4989,4834,4908,4843,5069,5354,5582
Japan,JPN,44508,48168,48603,40454,38109,34524,38762,38387,39159,40247
Jordan,JOR,3690,3816,3877,3998,4073,4105,4104,4163,4242,4330
Kazakhstan,KAZ,9070,11634,12387,13891,12807,10511,7715,9248,9813,9731
Kenya,KEN,952,972,1137,1210,1316,1337,1411,1572,1708,1817
Kiribati,KIR,1517,1735,1789,1716,1643,1543,1585,1641,1698,1655
"Korea, Rep.",KOR,23087,25096,25467,27183,29250,28732,29289,31617,33340,31762
Kosovo,XKX,3287,3742,3597,3891,4080,3603,3780,4046,4420,4418
Kuwait,KWT,38577,48632,51979,49388,44062,29870,27653,29759,33994,32032
Kyrgyz Republic,KGZ,880,1124,1178,1282,1280,1121,1121,1243,1308,1309
Lao PDR,LAO,1141,1378,1581,1826,1998,2135,2309,2424,2542,2535
Late-demographic dividend,LTE,6192,7502,7979,8548,8819,8218,8187,9031,9841,10000
Latin America & Caribbean,LCN,9066,10194,10187,10326,10417,8871,8577,9433,9081,8847
Latin America & Caribbean (excluding high income),LAC,8767,9871,9825,9936,10062,8461,8143,8991,8583,8368
Latin America & the Caribbean (IDA & IBRD countries),TLA,8981,10129,10112,10247,10334,8728,8417,9288,8924,8681
Latvia,LVA,11348,13832,13851,15041,15740,13699,14153,15587,17805,17836
Least developed countries: UN classification,LDC,813,904,935,997,1053,1014,979,1041,1057,1070
Lebanon,LBN,7762,7675,7951,7931,7686,7645,7630,7801,8025,7784
Lesotho,LSO,1137,1309,1254,1194,1223,1152,1044,1150,1222,1158
Liberia,LBR,513,597,658,722,721,710,715,699,677,622
Libya,LBY,12065,5554,13025,10364,6467,4338,4035,5757,7877,7684
Liechtenstein,LIE,141200,158157,149010,173058,178846,167291,165629,173356,,179258
Lithuania,LTU,11957,14354,14339,15702,16548,14249,14999,16883,19081,19455
Low & middle income,LMY,3576,4168,4394,4594,4709,4416,4380,4749,5002,5080
Low income,LIC,734,773,790,846,884,861,775,780,782,780
Lower middle income,LMC,1543,1710,1776,1843,1935,1887,1920,2035,2090,2177
Luxembourg,LUX,104965,115762,106749,113625,118824,101376,104278,107627,116654,114705
"Macao SAR, China",MAC,52253,66644,76292,89287,93777,75341,74061,81517,87209,84096
Madagascar,MDG,472,531,518,541,531,467,476,515,528,522
Malawi,MWI,479,535,392,348,371,381,316,357,381,412
Malaysia,MYS,9041,10399,10817,10970,11319,9955,9818,10254,11373,11415
Maldives,MDV,7077,7291,7266,7928,8499,9033,9209,9541,10331,10791
